dimension,group,n,actual_readmissions,predicted_readmissions,readmission_rate,accuracy,precision,tpr,fnr,fpr,tnr
Gender,F,209,8,9,0.03827751196172249,0.9282296650717703,0.1111111111111111,0.125,0.875,0.03980099502487562,0.9601990049751243
Gender,M,160,22,20,0.1375,0.825,0.35,0.3181818181818182,0.6818181818181818,0.09420289855072464,0.9057971014492754
Race,asian,26,2,4,0.07692307692307693,0.9230769230769231,0.5,1.0,0.0,0.08333333333333333,0.9166666666666666
Race,black,24,1,1,0.041666666666666664,0.9166666666666666,0.0,0.0,1.0,0.043478260869565216,0.9565217391304348
Race,hawaiian,1,0,0,0.0,1.0,,,,0.0,1.0
Race,native,6,0,0,0.0,1.0,,,,0.0,1.0
Race,other,5,0,0,0.0,1.0,,,,0.0,1.0
Race,white,307,27,24,0.08794788273615635,0.8729641693811075,0.25,0.2222222222222222,0.7777777777777778,0.06428571428571428,0.9357142857142857
